timestamp,latitude,longitude,altitude,roll,pitch,yaw,heading,speed
0.0,11.004556,76.961632,85.0,0.2,-1.5,127.0,127.0,0.0
1.0,11.004589,76.961688,84.5,0.3,-1.4,127.5,127.5,6.2
2.0,11.004623,76.961744,84.0,0.1,-1.6,128.0,128.0,6.8
3.0,11.004657,76.961800,83.5,0.4,-1.3,128.5,128.5,7.1
4.0,11.004691,76.961856,83.0,-0.1,-1.7,129.0,129.0,7.3
5.0,11.004725,76.961912,82.5,0.2,-1.5,129.5,129.5,7.0
6.0,11.004759,76.961968,82.0,0.5,-1.4,130.0,130.0,6.9
7.0,11.004793,76.962024,81.5,0.3,-1.6,130.5,130.5,7.2
8.0,11.004827,76.962080,81.0,-0.2,-1.5,131.0,131.0,7.4
9.0,11.004861,76.962136,80.5,0.1,-1.3,131.5,131.5,7.1
10.0,11.004895,76.962192,80.0,0.4,-1.7,132.0,132.0,7.3
11.0,11.004929,76.962248,80.0,0.2,-1.5,132.0,132.0,7.0
12.0,11.004963,76.962304,80.0,-0.1,-1.4,132.0,132.0,6.8
13.0,11.004997,76.962360,80.0,0.3,-1.6,132.0,132.0,6.9
14.0,11.005031,76.962416,80.0,0.1,-1.5,132.0,132.0,7.1
15.0,11.005065,76.962472,80.0,-0.2,-1.3,132.0,132.0,7.2
16.0,11.005099,76.962528,80.0,0.4,-1.7,132.0,132.0,7.0
17.0,11.005133,76.962584,80.0,0.2,-1.5,132.0,132.0,6.9
18.0,11.005167,76.962640,80.0,-0.1,-1.4,132.0,132.0,7.1
19.0,11.005201,76.962696,80.0,0.3,-1.6,132.0,132.0,7.3
20.0,11.005235,76.962752,80.0,0.1,-1.5,132.0,132.0,7.0
21.0,11.005269,76.962808,80.0,-0.2,-1.3,132.0,132.0,6.8
22.0,11.005303,76.962864,80.0,0.4,-1.7,132.0,132.0,6.9
23.0,11.005337,76.962920,80.0,0.2,-1.5,132.0,132.0,7.2
24.0,11.005371,76.962976,80.0,-0.1,-1.4,132.0,132.0,7.1
25.0,11.005405,76.963032,80.0,0.3,-1.6,132.0,132.0,7.0
26.0,11.005439,76.963088,80.0,0.1,-1.5,132.0,132.0,6.9
27.0,11.005473,76.963144,80.0,-0.2,-1.3,132.0,132.0,7.3
28.0,11.005507,76.963200,80.0,0.4,-1.7,132.0,132.0,7.1
29.0,11.005541,76.963256,80.0,0.2,-1.5,132.0,132.0,7.2
30.0,11.005575,76.963312,80.0,-0.1,-1.4,132.0,132.0,7.0
35.0,11.005697,76.963536,80.0,0.3,-1.6,132.0,132.0,6.9
40.0,11.005819,76.963760,80.0,0.1,-1.5,132.0,132.0,7.1
45.0,11.005941,76.963984,80.0,-0.2,-1.3,132.0,132.0,7.3
50.0,11.006063,76.964208,80.0,0.4,-1.7,132.0,132.0,7.0
60.0,11.006307,76.964656,80.0,0.2,-1.5,132.0,132.0,6.8
70.0,11.006551,76.965104,80.0,-0.1,-1.4,132.0,132.0,7.2
80.0,11.006795,76.965552,80.0,0.3,-1.6,132.0,132.0,7.1
90.0,11.007039,76.966000,80.0,0.1,-1.5,132.0,132.0,7.0
